Date,Receipt,SO,Item Code,Description,Expiration Date,Qty,Unit,Discount,Sales,Cost,Profit,Payment,Cashier ID,_row_id,error_reason,error_stage
Grand Total,,,,,13594,,"946,911.94",,,"397,427.20","179,752.53","934,031.76",,13594,summary/total row matched 'grand total',pre-map
,,,,,,,<na>,,,1400.0,480.0,,,2,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,104.0,,,6,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,30.39,6.11,,,10,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.61,0.89,,,14,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.75,-11.66,,,18,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,38.79,3.96,,,22,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,15.21,2.79,,,26,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,23.33,6.67,,,30,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,102.36,5.64,,,34,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,0.88,162.0,,,38,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,64.0,6.5,,,42,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,72.75,-33.61,,,49,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,59.86,12.22,,,55,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,2.05,96.0,,,59,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,34.37,33.58,,,64,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.2,3.8,,,68,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,0.3,0.7,,,72,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,45.24,144.82,,,80,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,39.62,38.8,,,85,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,44.21,99.9,,,90,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,38.1,13.61,,,95,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.29,1.05,,,103,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.45,130.5,,,108,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,80.0,12.5,,,112,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,10.36,4.56,,,116,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.55,3.9,,,120,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,72.1,34.3,,,124,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.2,3.8,,,128,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,49.15,44.68,,,133,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,17.93,39.56,,,139,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,194.53,30.22,,,145,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,40.78,33.67,,,150,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,3.03,7.2,,,154,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,0.48,23.46,,,158,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,15.09,1.66,,,162,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,8.17,123.65,,,166,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,25.34,19.98,,,170,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,181.18,49.62,,,176,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,83.92,11.58,,,180,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,44.55,8.65,,,185,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,14.61,9.85,,,189,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1.98,62.0,,,195,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,80.0,12.5,,,199,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,82.54,17.5,,,204,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,480.0,,,208,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,480.0,,,212,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,72.3,143.79,,,218,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,32.67,53.06,,,222,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,19.82,24.3,,,226,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,11.74,2.51,,,230,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,29.45,91.3,,,234,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,480.0,,,238,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,35.42,7.16,,,242,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,11.71,12.9,,,246,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,28.28,1.47,,,250,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,514.89,16.61,,,255,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,44.85,10.55,,,261,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,26.39,11.85,,,266,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,90.65,79.95,,,271,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,40.0,157.5,,,275,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,999.86,101.89,,,280,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,480.0,,,284,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,125.0,51.75,,,288,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,9856.0,5744.0,,,292,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,19.47,4.38,,,298,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,187.06,160.34,,,303,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1400.0,480.0,,,307,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,597.9,27.94,,,313,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,322.44,23.06,,,317,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,182.45,16.05,,,322,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,76.12,10.88,,,334,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,380.99,-43.01,,,342,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,137.5,22.51,,,348,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,4.05,2.0,,,352,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.2,3.8,,,356,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,4.0,8.0,,,360,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,168.12,11.88,,,364,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,687.96,73.73,,,369,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,16.07,10.89,,,373,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,13.19,10.59,,,378,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,64.95,128.99,,,392,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,270.32,219.06,,,398,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,0.88,84.0,,,402,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,367.52,102.75,,,410,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,1641.84,403.49,,,422,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,36.56,19.44,,,426,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,0.94,5.3,,,430,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,7.71,169.38,,,435,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,77.25,11.5,,,439,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,42.66,45.94,,,445,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,349.89,46.51,,,451,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,4.05,0.2,,,455,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,13.87,18.8,,,459,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,2.77,46.3,,,463,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,79.16,23.2,,,468,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,44.63,18.74,,,472,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,,,<na>,,,9.2,5.8,,,476,financial data present but missing supporting fields,remove_incomplete_rows
