Date,Receipt,SO,Item Code,Description,Expiration Date,Qty,Unit,Discount,Sales,Cost,Profit,Payment,Cashier ID,_row_id,error_reason,error_stage
Grand Total,,,,,13594,,"946,911.94",,,"397,427.20","179,752.53","934,031.76",,13594,summary/total row matched 'grand total',pre-map
,,,,,1970-01-01 00:00:00.000000002,,<na>,,,1400.0,480.0,,,2,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000006,,<na>,,,1400.0,104.0,,,6,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000010,,<na>,,,30.39,6.11,,,10,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000014,,<na>,,,7.61,0.89,,,14,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000018,,<na>,,,7.75,-11.66,,,18,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000022,,<na>,,,38.79,3.96,,,22,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000026,,<na>,,,15.21,2.79,,,26,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000030,,<na>,,,23.33,6.67,,,30,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000034,,<na>,,,102.36,5.64,,,34,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000038,,<na>,,,0.88,162.0,,,38,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000042,,<na>,,,64.0,6.5,,,42,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000049,,<na>,,,72.75,-33.61,,,49,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000055,,<na>,,,59.86,12.22,,,55,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000059,,<na>,,,2.05,96.0,,,59,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000064,,<na>,,,34.37,33.58,,,64,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000068,,<na>,,,7.2,3.8,,,68,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000072,,<na>,,,0.3,0.7,,,72,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000080,,<na>,,,45.24,144.82,,,80,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000085,,<na>,,,39.62,38.8,,,85,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000090,,<na>,,,44.21,99.9,,,90,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000095,,<na>,,,38.1,13.61,,,95,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000103,,<na>,,,7.29,1.05,,,103,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000108,,<na>,,,7.45,130.5,,,108,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000112,,<na>,,,80.0,12.5,,,112,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000116,,<na>,,,10.36,4.56,,,116,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000120,,<na>,,,7.55,3.9,,,120,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000124,,<na>,,,72.1,34.3,,,124,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000128,,<na>,,,7.2,3.8,,,128,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000133,,<na>,,,49.15,44.68,,,133,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000139,,<na>,,,17.93,39.56,,,139,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000145,,<na>,,,194.53,30.22,,,145,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000150,,<na>,,,40.78,33.67,,,150,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000154,,<na>,,,3.03,7.2,,,154,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000158,,<na>,,,0.48,23.46,,,158,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000162,,<na>,,,15.09,1.66,,,162,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000166,,<na>,,,8.17,123.65,,,166,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000170,,<na>,,,25.34,19.98,,,170,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000176,,<na>,,,181.18,49.62,,,176,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000180,,<na>,,,83.92,11.58,,,180,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000185,,<na>,,,44.55,8.65,,,185,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000189,,<na>,,,14.61,9.85,,,189,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000195,,<na>,,,1.98,62.0,,,195,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000199,,<na>,,,80.0,12.5,,,199,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000204,,<na>,,,82.54,17.5,,,204,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000208,,<na>,,,1400.0,480.0,,,208,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000212,,<na>,,,1400.0,480.0,,,212,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000218,,<na>,,,72.3,143.79,,,218,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000222,,<na>,,,32.67,53.06,,,222,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000226,,<na>,,,19.82,24.3,,,226,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000230,,<na>,,,11.74,2.51,,,230,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000234,,<na>,,,29.45,91.3,,,234,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000238,,<na>,,,1400.0,480.0,,,238,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000242,,<na>,,,35.42,7.16,,,242,financial data present but missing supporting fields,remove_incomplete_rows
,,,,,1970-01-01 00:00:00.000000246,,<na>,,,11.71,12.9,,,246,financial data present but missing supporting fields,remove_incomplete_rows
